Date,alpha,rho,sigma,alpha,rho,sigma,alpha,rho,sigma,se_13_alpha,se_13_rho,se_13_sigma,se_23_alpha,se_23_rho,se_23_sigma
2/21/2018,1.750343559,-0.777200922,2.431761295,2.436542295,-0.436243976,2.286115884,1.743038778,-0.74771889,2.533584867,5.34E-05,0.00086919,0.01036804,0.480947127,0.097016622,0.061240897
2/22/2018,1.564449882,-0.845619147,2.538762055,1.20754691,-0.960645978,2.644620301,1.364153407,-0.589231902,2.287610641,0.040118678,0.06573442,0.063077033,0.024525595,0.137948416,0.127455898
2/23/2018,1.419898272,-0.800777388,2.320895973,1.600022111,-0.41659654,2.213655269,1.952119247,-0.628027763,2.105877352,0.283259166,0.029842433,0.046233007,0.123972393,0.044703162,0.011616079
2/26/2018,1.616828793,-0.755110703,2.222218583,1.943267476,-0.796974364,2.068248129,1.482237418,-0.808682773,2.198578528,0.018114838,0.002869967,0.000558852,0.212548715,0.000137087,0.016986013
2/27/2018,1.521399209,-0.7896814,2.195912963,1.229642559,-0.817458875,2.262687776,1.984232371,-0.654159531,2.293880182,0.214214536,0.018366177,0.009597576,0.569405784,0.026666676,0.000972966
2/28/2018,1.658592125,-0.811605933,2.332203127,2.264145366,-0.555368598,2.210985217,1.117606818,-1,2.65985342,0.292665103,0.035492325,0.107354714,1.314550643,0.197697084,0.201482664
3/1/2018,1.392458355,-0.897271327,2.509908142,0.442173651,-1,2.820283312,1.32232475,-0.889054836,2.857614131,0.004918723,6.75E-05,0.120899455,0.774665956,0.012308829,0.00139359
3/2/2018,1.36115349,-0.929241703,2.744120584,1.842840295,-0.628020755,2.709657031,1.802966832,-0.762882727,2.52474164,0.195199029,0.027675309,0.048127121,0.001589893,0.018187751,0.034193702
3/5/2018,1.343343836,-0.917464764,2.625320632,1.630008346,-0.889119583,2.501787623,1.962406899,-0.676967128,2.329868708,0.383239076,0.057839113,0.087291839,0.110488798,0.045008664,0.029556113
3/6/2018,1.561682913,-0.839606775,2.469418817,2.055591023,-0.578715449,2.271533723,2.011516209,-0.66216913,2.332789514,0.202349994,0.031484118,0.018667566,0.001942589,0.006964517,0.003752272
3/7/2018,1.691391315,-0.813416581,2.417382788,1.815024474,-0.742081866,2.355492226,1.92233771,-0.724369676,2.356002513,0.053336238,0.007929351,0.003767538,0.011516131,0.000313722,2.60E-07
3/8/2018,1.693016972,-0.823190962,2.401812346,1.845699259,-0.732112789,2.345138078,1.136548011,-0.950102661,2.511225005,0.309657705,0.016106579,0.01197113,0.502895493,0.047519584,0.027584867
3/9/2018,1.483413608,-0.873069183,2.407764007,0.757624483,-1,2.587531363,1.075082983,-0.900530901,2.351138316,0.166733899,0.000754146,0.003206469,0.100779899,0.009894102,0.055881673
3/12/2018,1.332866618,-0.888374164,2.300569214,1.355494575,-0.790721522,2.251454549,1.55472698,-0.71960036,2.187548847,0.04922202,0.028484597,0.012773603,0.039693551,0.00505822,0.004083939
3/13/2018,1.350726326,-0.847047011,2.254622611,1.647502665,-0.690128469,2.151503216,0.68708534,-1,2.654092208,0.440419358,0.023394617,0.159575959,0.922401438,0.096020366,0.252595695
3/14/2018,1.18098772,-0.884320537,2.453762893,0.259134104,-1,2.783342301,1.695359974,-0.801190509,2.426302892,0.264578816,0.006910602,0.000754052,2.062744751,0.039525214,0.127477139
3/15/2018,1.348185269,-0.893568807,2.45852886,2.419872862,-0.587460126,2.191027368,0.025809613,-0.527763729,2.591668789,1.748677374,0.133813355,0.017726241,5.73153884,0.00356366,0.160513549
3/16/2018,0.811762371,-0.797210718,2.41454981,0,-0.476591672,2.418713057,4.616096395,0.332161421,0.565441485,14.47295737,1.27548143,3.419201598,21.30834593,0.654081567,3.43461552
3/19/2018,2.094413545,-0.502906645,1.448497367,6.798953401,-0.540737177,0,0.825954877,-1,2.787751794,1.608987393,0.247101803,1.793602419,35.67671137,0.210922341,7.771560065
3/20/2018,1.7382547,-0.620398442,2.412613207,0,-1,3.87538631,0.967404097,-1,2.63842375,0.594210652,0.144097343,0.050990401,0.935870687,0,1.530076376
3/21/2018,1.567437135,-0.894550502,2.343104642,2.62175444,-0.964097735,2.053292748,1.079427124,-1,2.681030191,0.238153771,0.011119597,0.114193677,2.378773548,0.001288973,0.394054297
3/22/2018,1.133182312,-0.951656052,2.625535534,0.342887773,-0.977980074,2.903595096,0.90930064,-0.993311928,3.017906361,0.050123003,0.001735212,0.153954865,0.320823537,0.000235066,0.013067065
3/23/2018,1.080327886,-0.976584446,2.858569686,1.24908655,-0.956333603,2.90228258,0.918101756,-1,3.23972184,0.026317317,0.000548288,0.145276964,0.109550934,0.001906754,0.113865254
3/26/2018,1.008343517,-1,3.073621395,0.794779196,-0.986146049,3.255144852,1.694057766,-0.715401563,2.761278111,0.470204031,0.08099627,0.097558328,0.808701947,0.073302576,0.243904358
3/27/2018,1.164329934,-0.934860368,2.878793675,2.135795247,-0.596152087,2.569863224,0.94315451,-1,3.10738148,0.048918568,0.004243172,0.052252385,1.422391927,0.163093137,0.288925875
3/28/2018,1.176948948,-0.929801953,2.98622042,0.284180778,-1,3.264001428,0.774457884,-1,3.217823425,0.161999056,0.004927766,0.053639952,0.24037164,0,0.002132408
3/29/2018,1.073704844,-0.973010273,3.042531204,1.178731134,-0.832851343,3.078063873,1.335292371,-0.778970342,2.851314669,0.068428034,0.037651495,0.036563763,0.024511421,0.002903162,0.051415201
4/2/2018,1.066712653,-0.937942261,2.899412003,1.426579411,-0.779398838,2.771210543,1.519504489,-0.729216593,3.133511474,0.205020446,0.043566405,0.054802562,0.00863507,0.002518258,0.131261965
4/3/2018,1.220654062,-0.891298491,3.112079581,1.514359335,-0.683604488,3.130254751,1.526484377,-0.736465625,2.942228589,0.093532182,0.023973216,0.02884936,0.000147017,0.0027943,0.035353838
4/4/2018,1.261827193,-0.888025099,2.958589287,1.464832451,-0.815479019,2.890757224,1.616085839,-0.74389769,2.821033754,0.125499188,0.02077271,0.018921525,0.022877587,0.005123887,0.004861362
4/5/2018,1.395881231,-0.857368614,2.869075319,1.63829205,-0.724167949,2.77073765,1.46714169,-0.810979932,2.683959955,0.005078053,0.00215191,0.034267698,0.029292446,0.00753632,0.007530368
4/6/2018,1.387310788,-0.866463024,2.70899311,1.319728011,-0.890807213,2.671284804,1.480102906,-0.777163982,2.926916425,0.008610377,0.007974319,0.047490571,0.025720107,0.012914784,0.065347526
4/9/2018,1.395377766,-0.876846469,2.875021673,1.541466109,-0.689901077,2.905025913,1.569149627,-0.698960976,2.939811398,0.03019666,0.031643249,0.004197708,0.000766377,8.21E-05,0.00121003
4/10/2018,1.315740551,-0.885770001,2.924122536,1.518937226,-0.730703088,2.915277066,1.476025963,-0.785823526,2.818678917,0.025691413,0.009989298,0.011118357,0.001841376,0.003038263,0.009331203
4/11/2018,1.338861736,-0.8719183,2.829717213,1.396722108,-0.848411797,2.785441526,1.615424805,-0.714153562,2.768188589,0.076487131,0.024889712,0.003785772,0.047830869,0.018025274,0.000297664
4/12/2018,1.406985217,-0.851744686,2.799497973,1.695920435,-0.649660801,2.717774595,1.869657346,-0.445244114,2.505135834,0.214065499,0.165242715,0.086649069,0.030184514,0.041786182,0.045215243
4/13/2018,1.440147842,-0.787456902,2.630304267,1.935943226,-0.394213429,2.462825481,1.543587153,-0.74717429,2.519707845,0.010699691,0.001622689,0.012231569,0.153943288,0.12458137,0.003235603
4/16/2018,1.501438661,-0.782287757,2.532387641,1.199876329,-0.995708665,2.565941669,1.747950511,-0.677814578,2.333725012,0.060768092,0.010914645,0.03946684,0.300385309,0.101056651,0.053924576
