Date,alpha,beta,rho,sigma,Duration
5/24/2017,1.8311492288686537,0.8,-0.6476199191355984,0.2813460493637321,87.0
5/25/2017,1.5137301231870184,0.8,-0.6572020386610917,0.29395231148361795,86.0
5/26/2017,1.0974979988922842,0.8,-1.0,0.30743208042084547,85.0
5/30/2017,1.9761030163660382,0.8,-0.5526264092212843,0.27608955165177185,81.0
5/31/2017,1.8903840582647733,0.8,-0.7630835968677274,0.2786665564410515,80.0
6/1/2017,1.5469044123395437,0.8,-0.7162401078353539,0.2766985681063186,79.0
6/2/2017,1.9373463124036905,0.8,-0.3485460606326996,0.24747128155978843,78.0
6/5/2017,1.8188125547167397,0.8,-0.6851883889449015,0.28187332925672276,75.0
6/6/2017,2.136953363969955,0.8,-0.6143637416040879,0.272799772257605,74.0
6/7/2017,1.5539902111851542,0.8,-0.7558294104108811,0.29518309831918915,73.0
6/8/2017,1.1776623030759557,0.8,-0.11050452332971455,0.3474503870256515,100.0
6/9/2017,1.6981155389370755,0.8,-0.6880440202278736,0.30279340203057387,99.0
6/12/2017,2.377668779035735,0.8,-0.04912489004897022,0.28677321198921296,96.0
6/13/2017,1.7636377730175128,0.8,0.027819615289319817,0.3077344457738374,95.0
6/14/2017,0.872140663567797,0.8,-1.0,0.30997310877428386,94.0
6/15/2017,0.465601393245436,0.8,-1.0,0.34202394893803284,93.0
6/16/2017,0.9746730524512882,0.8,-0.8421269411587545,0.3250267039532391,92.0
6/19/2017,1.2278149216960494,0.8,-0.8096625463135224,0.3142389942603114,89.0
6/20/2017,1.8674983747507308,0.8,-0.6906931615832896,0.3038940550834781,88.0
6/21/2017,2.888357715311757,0.8,-0.4872804836724405,0.24110122740481274,87.0
6/22/2017,2.433175860016102,0.8,-0.5133344561795089,0.26149227215039805,86.0
6/23/2017,1.4902185063201014,0.8,-0.627997089803509,0.3110958266727772,85.0
6/26/2017,1.9339425592248864,0.8,-0.7091796932322642,0.2803978945519948,82.0
6/27/2017,0.7582773677290374,0.8,-1.0,0.36492059512570246,81.0
6/28/2017,0.35725040772233296,0.8,-1.0,0.35469514189314094,80.0
6/29/2017,2.0625948818783018,0.8,-0.5200022274432777,0.2948556324737495,79.0
6/30/2017,1.9514839182751784,0.8,0.03201794627913334,0.29973692341578456,78.0
7/3/2017,0.2832964770564341,0.8,-1.0,0.369253209087342,75.0
7/5/2017,0.36313767770727295,0.8,-1.0,0.3924949277126063,73.0
7/6/2017,1.80370678151775,0.8,-0.8549662146083128,0.33494964380050546,86.0
7/7/2017,1.9020443589074283,0.8,-0.8242608587957452,0.30851416189194725,85.0
7/10/2017,1.99634375056196,0.8,-0.7069462338273189,0.29265341911853454,82.0
7/11/2017,1.9899429657563497,0.8,-0.7244850320329053,0.3018868675461128,81.0
7/12/2017,2.044543858491573,0.8,-0.7330675653201336,0.28103816816946364,80.0
7/13/2017,0.5540020220302821,0.8,-1.0,0.3136598502451896,79.0
7/14/2017,2.0882160656726736,0.8,-0.7830469471069341,0.2701779733670227,78.0
7/17/2017,2.1186456300668266,0.8,-0.8003762841199388,0.2715083658292924,75.0
7/18/2017,2.4781062426512466,0.8,-0.6910627351130011,0.24196418577357123,74.0
7/19/2017,2.1733616999304926,0.8,-0.758970880981948,0.2635779888651647,73.0
7/20/2017,1.9103830560231798,0.8,-0.6525246713232544,0.2692085930957091,93.0
