,Close
639,2331.72
640,2342.81
641,2230.72
642,2333.49
643,2367.57
644,2368.05
645,2259.55
646,2292.49
647,2276.01
648,2193.52
649,2046.59
650,2076.68
651,2123.51
652,2230.52
653,2237.49
654,2253.8
655,2294.89
656,2305
657,2284.07
658,2356.98
659,2384.62
660,2385.33
661,2336.61
662,2383.03
663,2296.32
664,2290.26
665,2233.08
666,2199.09
667,2234.7
668,2226
669,2162.15
670,2177.43
671,2198.41
672,2308.68
673,2293.82
674,2331.64
675,2352.24
676,2363.6
677,2358.97
678,2413.01
679,2455.18
680,2450.46
681,2428.97
682,2481.54
683,2484.52
684,2413.22
685,2409.32
686,2349.01
687,2376.03
688,2461.62
689,2487.73
690,2502.45
691,2505.14
692,2512.42
693,2518.99
694,2520.57
695,2511.68
696,2508.5
697,2523.99
698,2601.51
699,2605.81
700,2605.84
701,2602.84
702,2583.01
703,2594.04
704,2523.28
705,2566.21
706,2459.2
707,2388.94
708,2467.48
709,2491.9
710,2513.32
711,2497.27
712,2587.15
713,2594.97
714,2552.67
715,2495.03
716,2509.75
717,2507.2
718,2553.81
719,2524.86
720,2512.58
721,2464.8
722,2424.68
723,2413.07
724,2357.27
725,2370.08
726,2430.36
727,2406.6
728,2446.22
729,2471.36
730,2541.8
731,2553.8
732,2514.65
733,2543.99
734,2514.01
735,2463.76
736,2466.16
737,2478.81
738,2508.04
739,2399.64
740,2422.77
741,2427.81
742,2421.19
743,2432.71
744,2359.49
745,2377.75
746,2380.05
747,2353.47
748,2311.45
749,2264.61
750,2252.61
751,2243.99
752,2208.94
753,2214.03
754,2277.8
755,2261.36
756,2219.6
757,2211.14
758,2229.04
759,2259.99
760,2265.14
761,2284.39
762,2269.05
763,2227.95
764,2251.7
765,2282.64
766,2274.32
767,2311.07
768,2302.18
769,2311.84
770,2261.93
771,2267.94
772,2284.68
773,2302.39
774,2292.5
775,2300.04
776,2274.53
777,2240.73
778,2261.51
779,2307.08
780,2294.95
781,2310.55
782,2316.63
783,2292
784,2291.83
785,2259.14
786,2292.67
787,2363.98
788,2368.51
789,2350.82
790,2376.6
791,2379.19
792,2378.57
793,2362.28
794,2325.67
795,2345.75
796,2317.38
797,2364.84
798,2366.61
799,2366.57
800,2329.12
801,2210.82
802,2204.81
803,2238.5
804,2196.22
805,2185.16
806,2170.32
807,2131.84
808,2126.53
809,2124.39
810,2149.45
811,2109.81
812,2110.05
813,2007.01
814,1980.17
815,2007.52
816,1967.66
817,2001.13
818,2041.56
819,2019.73
820,1927.69
821,1968.37
822,1956.22
823,1925.24
824,1943.43
825,2007.76
826,1958.46
827,1957.94
828,1982.95
829,1973.62
830,1926.11
831,1911.43
832,1907.9
833,1895.15
834,1894.45
835,1853.36
836,1845.13
837,1906.9
838,1873.82
839,1883.2
840,1882.13
841,1870.87
842,1933.62
843,1930
844,1913.63
845,1914.65
846,1915.91
847,1910.47
848,1833.04
849,1819.11
850,1799.88
851,1812.58
852,1797.66
853,1826.39
854,1829.56
855,1828.13
856,1870.3
857,1887.67
858,1859.15
859,1873.04
860,1840.67
861,1839.22
862,1878.53
863,1909.96
864,1914.33
865,1933.88
866,1945.45
867,1951.87
868,1936.07
869,1983.63
870,1993.87
871,1986.76
872,2015.65
873,1978.41
874,1981.53
875,1954.34
876,1979.23
877,1988.02
878,1934.59
879,1939.84
880,1914.45
881,1930.67
882,1971.3
883,1979.79
884,1974.66
885,1994.16
886,1967.06
887,1962.78
888,1960.06
889,1915
890,1914.64
891,1917.58
892,1942.56
893,1923.91
894,1917.33
895,1935.92
896,1929.19
897,1975.68
898,1973.14
899,1956.33
900,1918.29
901,1915.64
902,1922.14
903,1925.01
904,1893.03
905,1858.45
906,1857.31
907,1860.85
908,1864.41
909,1881.55
910,1863.88
911,1868.75
912,1913.11
913,1990.01
914,2066.95
915,2091.78
916,2125.61
917,2160.84
918,2254.39
919,2241.72
920,2278.35
921,2285.21
922,2245.25
923,2231.06
924,2294.45
925,2272.21
926,2225.37
927,2224.24
928,2189.48
929,2238.47
930,2231.7
931,2226.47
932,2254.76
933,2279
934,2289.96
935,2257.35
936,2226.16
937,2252.28
938,2130.58
939,2126.7
940,2032.5
941,2013.61
942,2037.46
943,2039.44
944,2019.67
945,1981.26
946,2014.16
947,2041.34
948,2018.4
949,2011.9
950,1979.89
951,1984.31
952,1998.15
953,2008.12
954,2032.03
955,2046.72
956,2018.46
957,1996.38
958,2021.65
959,2074.33
960,2069.92
961,2054.02
962,2036.55
963,2032.14
964,1999.52
965,2049.22
966,2021.98
967,2017.66
968,2013.25
969,1977.69
970,1950.33
971,1953.33
972,1946.51
973,1977.37
974,2015.11
975,1999.22
976,1984.28
977,2006.37
978,1975.74
979,1999.76
980,2017.15
981,2014.17
982,1982.62
983,1918.42
984,1923.69
985,1953.35
986,1895
987,1925.84
988,1911.75
989,1911.31
990,1926.04
991,1949.37
992,1945.14
993,1964.11
994,1968.69
995,1943
996,1975.98
997,1976.47
998,2047.69
999,2042.64
1000,2051.49
1001,2046.98
1002,2030.32
1003,2046.08
1004,1991.01
1005,1995.68
